2000	11	37.31
2000	12	36.98
2001	01	36.90
2001	02	36.73
2001	03	36.90
2001	04	37.15
2001	05	37.40
2001	06	37.89
2001	07	38.39
2001	08	38.64
2001	09	38.56
2001	10	38.80
2001	11	39.14
2001	12	38.89
2002	01	38.72
2002	02	38.64
2002	03	38.80
2002	04	38.89
2002	05	39.14
2002	06	39.47
2002	07	39.88
2002	08	40.13
2002	09	40.21
2002	10	40.38
2002	11	40.55
2002	12	40.13
2003	01	40.05
2003	02	40.13
2003	03	40.38
2003	04	40.88
2003	05	40.96
2003	06	41.21
2003	07	41.54
2003	08	41.38
2003	09	41.38
2003	10	41.71
2003	11	41.79
2003	12	41.62
2004	01	41.79
2004	02	41.79
2004	03	41.79
2004	04	41.79
2004	05	42.12
2004	06	42.45
2004	07	42.87
2004	08	43.28
2004	09	43.37
2004	10	43.61
2004	11	43.53
2004	12	43.20
2005	01	43.61
2005	02	43.53
2005	03	43.53
2005	04	43.86
2005	05	43.70
2005	06	43.86
2005	07	44.61
2005	08	44.77
2005	09	44.94
2005	10	45.44
2005	11	45.85
2005	12	45.60
2006	01	45.52
2006	02	45.52
2006	03	45.52
2006	04	45.90
2006	05	46.29
2006	06	47.05
2006	07	47.43
2006	08	47.43
2006	09	47.82
2006	10	48.58
2006	11	48.58
2006	12	48.58
2007	01	48.58
2007	02	48.96
2007	03	48.58
2007	04	48.96
2007	05	49.35
2007	06	49.73
2007	07	50.49
2007	08	50.88
2007	09	50.88
2007	10	51.26
2007	11	51.26
2007	12	51.26
